RID,CID,CAT,GRID_ID
135,1,frequent,F-3
135,2,frequent,F-3
135,3,frequent,F-4
135,3,frequent,G-4
135,3,frequent,F-3
135,3,frequent,G-3
135,4,frequent,G-3
135,5,regular,E-3
135,5,regular,F-3
135,6,regular,F-3
135,7,regular,G-3
135,8,regular,G-3
135,8,regular,H-3
