RID,CID,CAT,GRID_ID
118,1,frequent,B-4
118,1,frequent,C-4
118,1,frequent,B-3
118,1,frequent,C-3
118,1,frequent,D-3
118,1,frequent,C-2
118,2,frequent,F-4
118,2,frequent,G-4
118,2,frequent,H-4
118,2,frequent,E-3
118,2,frequent,F-3
118,2,frequent,G-3
118,2,frequent,H-3
118,2,frequent,E-2
118,2,frequent,F-2
118,2,frequent,G-2
118,3,regular,C-3
118,3,regular,D-3
118,3,regular,B-2
118,3,regular,C-2
118,3,regular,D-2
118,4,regular,E-2
118,4,regular,F-2
118,5,regular,F-4
118,5,regular,G-4
118,5,regular,H-4
118,5,regular,E-3
118,5,regular,F-3
118,5,regular,G-3
118,5,regular,H-3
118,6,regular,C-5
118,6,regular,D-5
