RID,CID,CAT,GRID_ID
110,1,frequent,B-3
110,1,frequent,C-3
110,1,frequent,D-3
110,1,frequent,B-2
110,1,frequent,C-2
110,1,frequent,D-2
110,2,frequent,E-3
110,2,frequent,D-2
110,2,frequent,E-2
110,3,frequent,F-3
110,3,frequent,G-3
110,4,frequent,F-6
110,4,frequent,G-6
110,4,frequent,G-5
110,4,frequent,F-3
110,5,regular,D-2
110,5,regular,E-2
110,6,regular,E-3
110,6,regular,F-3
110,6,regular,G-3
110,7,regular,C-5
110,7,regular,D-5
110,7,regular,E-5
110,7,regular,C-4
110,7,regular,D-4
110,8,regular,F-6
110,8,regular,G-6
110,8,regular,G-5
110,8,regular,F-3
