RID,CID,CAT,GRID_ID
131,1,frequent,F-3
131,2,frequent,F-3
131,3,frequent,F-3
131,4,frequent,F-3
131,5,frequent,F-3
131,5,frequent,G-3
131,6,frequent,F-3
131,6,frequent,G-3
131,7,frequent,G-3
131,8,frequent,G-3
131,8,frequent,H-3
131,9,frequent,F-6
131,9,frequent,F-5
131,10,frequent,F-5
131,11,frequent,F-6
131,11,frequent,G-6
131,11,frequent,F-5
131,11,frequent,G-5
131,12,regular,E-2
131,12,regular,F-2
131,13,regular,F-3
131,14,regular,F-3
131,15,regular,F-3
131,16,regular,F-3
131,16,regular,G-3
131,17,regular,F-3
131,17,regular,G-3
131,18,regular,F-3
131,18,regular,G-3
131,19,regular,G-3
131,20,regular,F-6
131,20,regular,F-5
131,21,regular,F-5
