RID,CID,CAT,GRID_ID
103,1,frequent,F-3
103,1,frequent,G-3
103,2,frequent,G-3
103,3,frequent,G-3
103,4,frequent,G-3
103,4,frequent,H-3
103,5,frequent,F-4
103,5,frequent,G-4
103,5,frequent,F-3
103,5,frequent,G-3
103,6,frequent,F-4
103,7,frequent,G-4
103,8,regular,F-3
103,8,regular,G-3
103,9,regular,G-3
103,10,regular,G-3
103,10,regular,H-3
103,11,regular,F-4
103,11,regular,G-4
103,11,regular,F-3
103,11,regular,G-3
103,12,regular,F-4
103,12,regular,G-4
103,12,regular,F-3
103,12,regular,G-3
103,13,regular,F-4
103,13,regular,G-4
103,13,regular,G-3
103,14,regular,F-4
